% AREA PERIMETER MAJOR_AXIS MINOR_AXIS ECCENTRICITY EQDIASQ SOLIDITY CONVEX_AREA EXTENT ASPECT_RATIO ROUNDNESS COMPACTNESS
60324 1851.119 367.964 216.4043 0.8088 277.1406 0.9038 66748 0.7151 1.7004 0.2212 0.7532
91922 2600.3191 510.7675 247.9755 0.8742 342.1092 0.8823 104190 0.6661 2.0597 0.1708 0.6698
61827 1119.1331 425.9982 191.7028 0.893 280.5719 0.9533 64856 0.7133 2.2222 0.6203 0.6586
85969 2345.6279 421.6958 291.1149 0.7235 330.8461 0.8702 98789 0.7033 1.4486 0.1964 0.7846
82735 1159.396 472.8359 228.0594 0.876 324.5635 0.9833 84136 0.7396 2.0733 0.7735 0.6864
68522 1762.667 440.5884 210.0721 0.879 295.3725 0.9141 74961 0.6349 2.0973 0.2771 0.6704
74054 1106.869 419.7861 229.3526 0.8376 307.0643 0.9637 76847 0.7725 1.8303 0.7596 0.7315
80574 1205.184 447.1653 232.2778 0.8545 320.2968 0.9749 82648 0.728 1.9251 0.6971 0.7163
71594 1168.067 475.4624 193.353 0.9136 301.9211 0.981 72982 0.7683 2.459 0.6594 0.635
73474 1138.402 439.1718 218.9616 0.8668 305.8594 0.9698 75764 0.7522 2.0057 0.7124 0.6964
96086 1397.467 541.9661 233.9702 0.902 349.7721 0.9465 101521 0.666 2.3164 0.6183 0.6454
96532 1767.6689 453.4496 282.7695 0.7817 350.5829 0.9494 101679 0.732 1.6036 0.3882 0.7731
91090 1241.655 482.3434 244.1972 0.8624 340.5575 0.9797 92981 0.7762 1.9752 0.7425 0.706
83628 1838.771 492.9537 230.5179 0.8839 326.3104 0.9257 90339 0.7383 2.1385 0.3108 0.6619
71716 1090.189 418.2818 219.9957 0.8505 302.1782 0.9779 73338 0.7484 1.9013 0.7583 0.7224
89168 1332.229 504.1752 230.6764 0.8892 336.9454 0.9708 91854 0.7519 2.1856 0.6313 0.6683
78126 1928.827 456.1414 237.1336 0.8542 315.3936 0.894 87390 0.728 1.9236 0.2639 0.6914
53028 1262.9 422.5751 164.0007 0.9216 259.841 0.9387 56488 0.7212 2.5767 0.4178 0.6149
84987 1136.249 462.183 238.2535 0.8569 328.9511 0.9764 87045 0.7701 1.9399 0.8272 0.7117
80770 1256.714 445.8208 238.2141 0.8453 320.6861 0.9475 85247 0.6878 1.8715 0.6427 0.7193
84880 1458.657 475.3602 246.4661 0.8551 328.7439 0.9233 91934 0.706 1.9287 0.5013 0.6916
73254 1967.176 429.6196 233.9086 0.8388 305.4012 0.9119 80327 0.7125 1.8367 0.2379 0.7109
84010 1241.546 490.5629 221.6895 0.8921 327.0548 0.9836 85410 0.7595 2.2128 0.6849 0.6667
85018 1274.892 446.8256 246.677 0.8338 329.0111 0.9632 88270 0.7659 1.8114 0.6573 0.7363
81487 1305.462 479.7953 227.478 0.8805 322.1063 0.9156 88994 0.709 2.1092 0.6009 0.6713
60009 1132.484 405.3165 192.7359 0.8797 276.416 0.9553 62815 0.7488 2.103 0.588 0.682
75881 1112.911 445.0782 222.8896 0.8656 310.829 0.9603 79014 0.7528 1.9969 0.7699 0.6984
63231 1107.589 427.6864 192.8126 0.8926 283.7397 0.9453 66893 0.6484 2.2181 0.6477 0.6634
73482 2621.3689 483.8589 253.1174 0.8523 305.8761 0.7864 93439 0.6051 1.9116 0.1344 0.6322
76715 1163.726 439.6134 226.2123 0.8574 312.5325 0.9817 78143 0.7481 1.9434 0.7119 0.7109
79819 1193.443 448.4252 231.018 0.8571 318.7926 0.9631 82878 0.7369 1.9411 0.7042 0.7109
69644 1146.145 410.3784 223.2957 0.839 297.7809 0.9356 74435 0.6963 1.8378 0.6662 0.7256
60466 1602.021 377.7837 240.4111 0.7714 277.4666 0.8344 72465 0.6676 1.5714 0.2961 0.7345
35873 971.085 326.2059 143.605 0.8979 213.7169 0.9456 37935 0.7731 2.2715 0.478 0.6552
63966 1790.7111 401.2134 230.7706 0.818 285.384 0.8537 74929 0.6141 1.7386 0.2507 0.7113
71326 1254.259 458.2616 204.6301 0.8948 301.3554 0.9607 74246 0.6846 2.2395 0.5697 0.6576
83131 1210.476 440.3339 246.5731 0.8285 325.3393 0.9516 87361 0.7965 1.7858 0.713 0.7388
75519 1177.696 448.8726 227.9406 0.8615 310.0867 0.9183 82240 0.6927 1.9693 0.6842 0.6908
79537 1439.5129 466.7973 221.2136 0.8806 318.2289 0.9437 84281 0.7568 2.1102 0.4823 0.6817
84746 1311.157 482.7735 235.904 0.8725 328.4843 0.9121 92914 0.7162 2.0465 0.6195 0.6804
80715 1144.972 458.5215 228.5621 0.8669 320.5769 0.9723 83013 0.7613 2.0061 0.7737 0.6992
77596 1235.537 455.2329 225.296 0.8689 314.322 0.9554 81221 0.7448 2.0206 0.6388 0.6905
83019 1180.433 482.4406 221.1325 0.8888 325.1201 0.9828 84468 0.75 2.1817 0.7487 0.6739
66035 2038.506 435.733 207.4999 0.8793 289.9627 0.8606 76729 0.6566 2.0999 0.1997 0.6655
64036 1162.109 415.755 205.7012 0.869 285.5401 0.9208 69546 0.6947 2.0212 0.5959 0.6868
49216 1063.024 388.5879 164.7131 0.9057 250.3273 0.9444 52114 0.7365 2.3592 0.5473 0.6442
75982 1171.054 469.321 208.4384 0.896 311.0358 0.9832 77284 0.7004 2.2516 0.6963 0.6627
76680 1383.629 442.8727 223.7487 0.863 312.4612 0.9624 79672 0.7533 1.9793 0.5033 0.7055
90014 1207.855 498.039 231.4844 0.8854 338.5401 0.991 90832 0.7498 2.1515 0.7753 0.6797
75639 1164.824 473.6581 203.8734 0.9026 310.333 0.9846 76819 0.7991 2.3233 0.7005 0.6552
47569 1441.626 368.1418 180.4415 0.8716 246.1031 0.8518 55844 0.6452 2.0402 0.2876 0.6685
66817 1267.011 462.0721 192.5321 0.9091 291.6746 0.9166 72895 0.6172 2.4 0.523 0.6312
43091 1025.4771 414.3749 134.2832 0.946 234.2331 0.9605 44865 0.7672 3.0858 0.5149 0.5653
41435 1103.095 320.3445 172.6046 0.8424 229.6882 0.9236 44863 0.7345 1.8559 0.4279 0.717
64467 1253.8051 411.6982 218.9355 0.8469 286.4995 0.8878 72618 0.6585 1.8805 0.5153 0.6959
80709 1212.319 482.3517 216.2141 0.8939 320.5649 0.9785 82486 0.7768 2.2309 0.6901 0.6646
40127 858.363 334.9327 156.1191 0.8847 226.0338 0.9718 41290 0.7464 2.1454 0.6844 0.6749
69391 1529.824 408.823 259.4663 0.7728 297.2396 0.8587 80807 0.6959 1.5756 0.3726 0.7271
90235 1236.269 485.8639 237.3859 0.8725 338.9554 0.9844 91662 0.772 2.0467 0.7419 0.6976
79538 1222.442 465.5429 225.9824 0.8743 318.2309 0.9577 83048 0.7045 2.0601 0.6688 0.6836
64717 1026.028 416.624 198.4042 0.8793 287.0544 0.9875 65539 0.7701 2.0999 0.7725 0.689
60483 1258.101 404.1308 194.3567 0.8768 277.5056 0.9469 63874 0.751 2.0793 0.4802 0.6867
75774 1246.739 471.5271 209.4066 0.896 310.6098 0.9534 79477 0.7284 2.2517 0.6126 0.6587
66992 1071.2889 427.4628 202.3311 0.8809 292.0563 0.9793 68406 0.747 2.1127 0.7335 0.6832
96118 1282.005 502.7237 246.4533 0.8716 349.8303 0.9854 97545 0.7479 2.0398 0.7349 0.6959
79642 1144.603 463.9503 221.3451 0.8789 318.4389 0.9902 80431 0.7782 2.096 0.7639 0.6864
78285 1169.6429 465.0707 218.7815 0.8824 315.7144 0.9741 80368 0.6502 2.1257 0.7191 0.6789
64753 1081.6591 422.242 199.8473 0.8809 287.1342 0.9768 66292 0.7858 2.1128 0.6955 0.68
83333 1146.979 457.7629 233.0776 0.8607 325.7343 0.989 84260 0.8123 1.964 0.796 0.7116
74490 1116.386 439.9262 218.446 0.868 307.9669 0.9898 75261 0.7523 2.0139 0.7511 0.7
78544 1281.4091 455.5487 228.9833 0.8645 316.2362 0.9499 82685 0.7441 1.9894 0.6011 0.6942
82130 1169.217 466.5165 230.6381 0.8692 323.3747 0.9712 84565 0.778 2.0227 0.755 0.6932
75582 1175.749 461.3922 215.4832 0.8842 310.216 0.9547 79172 0.7161 2.1412 0.6871 0.6723
67777 1451.34 435.9016 210.1317 0.8761 293.7624 0.9021 75136 0.5933 2.0744 0.4043 0.6739
66313 1870.754 403.2048 252.3931 0.7798 290.5724 0.8138 81481 0.6049 1.5975 0.2381 0.7207
77399 1586.882 434.9457 233.3175 0.8439 313.9227 0.9465 81776 0.7448 1.8642 0.3862 0.7218
66494 1084.077 421.8923 205.8024 0.873 290.9687 0.9686 68650 0.7162 2.05 0.711 0.6897
78060 1251.8199 470.1811 226.1824 0.8767 315.2603 0.9347 83510 0.6835 2.0788 0.626 0.6705
79341 1286.035 490.0181 216.3564 0.8972 317.8366 0.9557 83022 0.6746 2.2649 0.6028 0.6486
77609 1185.8409 432.5506 242.5948 0.8279 314.3483 0.8959 86626 0.7368 1.783 0.6935 0.7267
89531 1201.969 475.7151 244.3658 0.858 337.6306 0.9867 90741 0.7646 1.9467 0.7787 0.7097
73388 1283.759 418.133 230.853 0.8338 305.6804 0.9543 76901 0.7177 1.8113 0.5596 0.7311
71029 1069.976 434.8156 211.6329 0.8736 300.7273 0.9911 71666 0.7686 2.0546 0.7796 0.6916
65251 1139.3781 419.9422 201.6076 0.8772 288.2363 0.9641 67679 0.7619 2.083 0.6316 0.6864
85324 1188.8781 451.2238 249.8533 0.8327 329.6026 0.9449 90301 0.751 1.806 0.7586 0.7305
76016 1107.249 461.5909 210.8587 0.8896 311.1054 0.9892 76849 0.7968 2.1891 0.7792 0.674
53718 1865.593 404.9798 213.7201 0.8494 261.5261 0.7779 69055 0.6122 1.8949 0.194 0.6458
64511 1050.392 424.7689 196.504 0.8866 286.5972 0.9743 66212 0.7521 2.1616 0.7348 0.6747
65727 1125.891 391.7412 218.362 0.8302 289.2857 0.9686 67857 0.6987 1.794 0.6516 0.7385
78993 1217.459 453.0873 236.6473 0.8528 317.1388 0.9219 85685 0.6853 1.9146 0.6697 0.7
63091 1058.692 412.6924 199.5693 0.8753 283.4254 0.9611 65645 0.762 2.0679 0.7074 0.6868
96045 1219.256 490.9517 249.5563 0.8612 349.6974 0.9919 96827 0.7379 1.9673 0.8119 0.7123
78693 1198.9449 479.975 211.0565 0.8981 316.536 0.9751 80701 0.7494 2.2742 0.6879 0.6595
72615 1225.478 447.4055 208.8809 0.8843 304.0663 0.9674 75059 0.6946 2.1419 0.6076 0.6796
65779 1267.324 432.0235 203.246 0.8824 289.4001 0.9351 70345 0.7041 2.1256 0.5147 0.6699
65688 1333.7 394.94 216.5538 0.8363 289.1999 0.9664 67970 0.7766 1.8238 0.4641 0.7323
65159 1111.235 430.5833 194.4411 0.8922 288.033 0.9706 67136 0.7005 2.2145 0.6631 0.6689
76885 1219.3051 456.002 225.5101 0.8692 312.8786 0.9461 81269 0.7206 2.0221 0.6499 0.6861
73912 1415.202 455.9403 219.9362 0.876 306.7697 0.9207 80276 0.7301 2.0731 0.4638 0.6728
57830 1058.76 350.2554 216.8341 0.7853 271.3511 0.9534 60657 0.7305 1.6153 0.6483 0.7747
59753 1733.895 418.0769 193.1692 0.8869 275.8258 0.8756 68239 0.6377 2.1643 0.2498 0.6597
44350 1077.984 359.9041 162.5234 0.8922 237.6303 0.9423 47065 0.6157 2.2145 0.4796 0.6603
64813 1085.75 413.125 206.5107 0.8661 287.2672 0.9595 67551 0.6906 2.0005 0.6909 0.6954
87582 2388.78 453.0429 272.215 0.7994 333.9354 0.8805 99467 0.6843 1.6643 0.1929 0.7371
55916 1646.803 367.609 207.5332 0.8254 266.8229 0.894 62543 0.6959 1.7713 0.2591 0.7258
76819 1230.549 479.8747 207.406 0.9018 312.7443 0.9749 78795 0.7633 2.3137 0.6375 0.6517
65433 1101.097 421.8546 202.0145 0.8779 288.638 0.9746 67137 0.7526 2.0882 0.6782 0.6842
79828 1243.63 493.1381 217.3577 0.8976 318.8105 0.9432 84633 0.6945 2.2688 0.6486 0.6465
86019 1395.735 499.5443 225.1839 0.8926 330.9423 0.9473 90802 0.705 2.2184 0.5549 0.6625
56408 1140.973 373.937 195.3829 0.8526 267.9942 0.9551 59058 0.7379 1.9139 0.5445 0.7167
88717 1210.562 487.4279 235.4629 0.8756 336.0922 0.9849 90077 0.7594 2.0701 0.7608 0.6895
75986 1169.889 457.5267 214.8641 0.8829 311.044 0.9875 76944 0.7895 2.1294 0.6977 0.6798
81393 1362.127 476.5513 220.6497 0.8864 321.9205 0.9602 84766 0.7607 2.1598 0.5513 0.6755
68731 1162.817 428.4363 212.2543 0.8687 295.8226 0.9391 73191 0.7417 2.0185 0.6388 0.6905
