%wheel-base length width height curb-weight engine-size horsepower highway-mpg
97.2 173.4 65.2 54.7 2324 120 97 34
97.2 173.4 65.2 54.7 2302 120 97 34
100.4 181.7 66.5 55.1 3095 181 152 22
100.4 184.6 66.5 56.1 3296 181 152 22
100.4 184.6 66.5 55.1 3060 181 152 25
91.3 170.7 67.9 49.7 3071 181 160 25
91.3 170.7 67.9 49.7 3139 181 200 23
99.2 178.5 67.9 49.7 3139 181 160 25
107.9 186.7 68.4 56.7 3020 120 97 24
107.9 186.7 68.4 56.7 3197 152 95 33
114.2 198.9 68.4 58.7 3230 120 97 24
114.2 198.9 68.4 58.7 3430 152 95 25
107.9 186.7 68.4 56.7 3075 120 95 24
107.9 186.7 68.4 56.7 3252 152 95 33
114.2 198.9 68.4 56.7 3285 120 95 24
114.2 198.9 68.4 58.7 3485 152 95 25
107.9 186.7 68.4 56.7 3075 120 97 24
107.9 186.7 68.4 56.7 3252 152 95 33
108 186.7 68.3 56 3130 134 142 24
93.7 157.3 63.8 50.8 1918 90 68 41
93.7 157.3 63.8 50.8 2128 98 102 30
93.7 157.3 63.8 50.6 1967 90 68 38
93.7 167.3 63.8 50.8 1989 90 68 38
93.7 167.3 63.8 50.8 2191 98 68 38
103.3 174.6 64.6 59.8 2535 122 88 30
95.9 173.2 66.3 50.2 2818 156 145 24
94.5 168.9 68.3 50.2 2778 151 143 27
89.5 168.9 65 51.6 2756 194 207 25
89.5 168.9 65 51.6 2756 194 207 25
89.5 168.9 65 51.6 2800 194 207 25
98.4 175.7 72.3 50.5 3366 203 288 28
99.1 186.6 66.5 56.1 2658 121 110 28
99.1 186.6 66.5 56.1 2695 121 110 28
99.1 186.6 66.5 56.1 2707 121 110 28
99.1 186.6 66.5 56.1 2758 121 110 28
99.1 186.6 66.5 56.1 2808 121 160 26
99.1 186.6 66.5 56.1 2847 121 160 26
93.7 156.9 63.4 53.7 2050 97 69 36
93.7 157.9 63.6 53.7 2120 108 73 31
93.3 157.3 63.8 55.7 2240 108 73 31
97.2 172 65.4 52.5 2145 108 82 37
97.2 172 65.4 52.5 2190 108 82 33
97.2 172 65.4 52.5 2340 108 94 32
97 172 65.4 54.3 2385 108 82 25
97 172 65.4 54.3 2510 108 111 29
97 173.5 65.4 53 2290 108 82 32
97 173.5 65.4 53 2455 108 94 31
96.9 173.6 65.4 54.9 2420 108 82 29
96.9 173.6 65.4 54.9 2650 108 111 23
95.7 158.7 63.6 54.5 1985 92 62 39
95.7 158.7 63.6 54.5 2040 92 62 38
95.7 158.7 63.6 54.5 2015 92 62 38
95.7 169.7 63.6 59.1 2280 92 62 37
95.7 169.7 63.6 59.1 2290 92 62 32
95.7 169.7 63.6 59.1 3110 92 62 32
95.7 166.3 64.4 53 2081 98 70 37
95.7 166.3 64.4 52.8 2109 98 70 37
95.7 166.3 64.4 53 2275 110 56 36
95.7 166.3 64.4 52.8 2275 110 56 47
95.7 166.3 64.4 53 2094 98 70 47
95.7 166.3 64.4 52.8 2122 98 70 34
95.7 166.3 64.4 52.8 2140 98 70 34
94.5 168.7 64 52.6 2169 98 70 34
94.5 168.7 64 52.6 2204 98 70 34
94.5 168.7 64 52.6 2265 98 112 29
94.5 168.7 64 52.6 2300 98 112 29
98.4 176.2 65.6 52 2540 146 116 30
98.4 176.2 65.6 52 2536 146 116 30
98.4 176.2 65.6 52 2551 146 116 30
98.4 176.2 65.6 52 2679 146 116 30
98.4 176.2 65.6 52 2714 146 116 30
98.4 176.2 65.6 53 2975 146 116 30
102.4 175.6 66.5 54.9 2326 122 92 34
102.4 175.6 66.5 54.9 2480 110 73 33
102.4 175.6 66.5 53.9 2414 122 92 32
102.4 175.6 66.5 54.9 2414 122 92 32
102.4 175.6 66.5 53.9 2458 122 92 32
102.9 183.5 67.7 52 2976 171 161 24
102.9 183.5 67.7 52 3016 171 161 24
104.5 187.8 66.5 54.1 3131 171 156 24
104.5 187.8 66.5 54.1 3151 161 156 24
97.3 171.7 65.5 55.7 2261 97 52 46
97.3 171.7 65.5 55.7 2209 109 85 34
97.3 171.7 65.5 55.7 2264 97 52 46
97.3 171.7 65.5 55.7 2212 109 85 34
97.3 171.7 65.5 55.7 2275 109 85 34
97.3 171.7 65.5 55.7 2319 97 68 42
97.3 171.7 65.5 55.7 2300 109 100 32
94.5 159.3 64.2 55.6 2254 109 90 29
94.5 165.7 64 51.4 2221 109 90 29
100.4 180.2 66.9 55.1 2661 136 110 24
100.4 180.2 66.9 55.1 2579 97 68 38
100.4 183.1 66.9 55.1 2563 109 88 31
104.3 188.8 67.2 56.2 2912 141 114 28
104.3 188.8 67.2 57.5 3034 141 114 28
104.3 188.8 67.2 56.2 2935 141 114 28
104.3 188.8 67.2 57.5 3042 141 114 28
104.3 188.8 67.2 56.2 3045 130 162 22
104.3 188.8 67.2 57.5 3157 130 162 22
109.1 188.8 68.9 55.5 2952 141 114 28
109.1 188.8 68.8 55.5 3049 141 160 25
109.1 188.8 68.9 55.5 3012 173 134 23
109.1 188.8 68.9 55.5 3217 145 106 27
109.1 188.8 68.9 55.5 3062 141 114 25
